Tabela 1. Representação da base de dados antes do pré-processamento;;
Plataforma;Postagem;Classe
Facebook;essa será minha próxima geladeira ? linda \nde [...];Positivo
Instagram;oi deus, sou eu de novo! ??\n\ninspiração: fabi [...];Positivo
Facebook;pra mim uma das melhores, só falta eu ganhar uma??;Positivo
Instagram;??;Positivo
Instagram;obrigada, fechei uma compra hoje ??;Positivo
Facebook;a mulher que faz o leauty da casa ????\nela que [...];Neutro
Instagram;boa tarde ????.;Neutro
Instagram;impossível falar com o suporte de vocês. péssimo sErviço;Negativo
Instagram;já tentei realizar a troca do produto, mais continuo sem nenuma resposta;Negativo
Facebook;eu odeio ter que perder o meu dia e não conseguir ser atendida;Negativo
Twitter;??????????;Positivo
Instagram;quando você usa a função secar da sua lava e [...];Neutro
Twitter;pelo jeito vou ter que ficar com o produto mesmo com defeito #desapontado;Negativo
Instagram;ahhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh [...];Neutro
;;
